# Coding: utf-8,
# File format version: 2,
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).,
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.,
#           Returns the global,beam and diffuse irradiations integrated over a selected time step
#           for a selected location (geostationary satellite coverage) and a selected period.,
# The research leading to these results has received funding from the European Union within the Copernicus programme.,
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany),
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service,
# Date begin (ISO 8601): 2022-01-30T00:00:00.0,
# Date end (ISO 8601): 2025-01-01T00:00:00.0,
# Latitude (positive North,ISO 19115): 43.9804
# Longitude (positive East,ISO 19115): 0.5724
# Altitude (m): 128.00,
# Time reference: Universal time (UT),
#,
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11),
# CF Standard Names registry of ObservablePropertyValue,
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html,
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6,
# ObservableProperty,
"#     basePhenomenon:""integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time""",
"#     uom:""Wh m-2"" [unit]",
# StatisticalMeasure,
"#     statisticalFunction: ""sum""",
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s,
# noValue: nan,
# File generated on: 2026-01-22,
#,
# Columns:,
# 1. Observation period (ISO 8601),
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2),
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2),
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2),
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2),
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2),
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2),
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2),
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2),
#11. Reliability. Proportion of reliable data in the summarization (0-1),
#,
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability,
2022-02-02T14:00:00.0/2022-02-02T15:00:00.0;512.6661;367.8511;289.8058;78.0453;790.9079;37.6454;0.0000;37.6454;0.0000;1.0000,
2022-02-02T15:00:00.0/2022-02-02T16:00:00.0;344.1128;227.1329;167.2983;59.8345;673.2217;37.4674;0.0000;37.4674;0.0000;1.0000,
2022-02-02T16:00:00.0/2022-02-02T17:00:00.0;133.0360;69.4319;40.4776;28.9543;348.0413;15.8393;0.0000;15.8393;0.0000;0.7750,
2022-02-02T17:00:00.0/2022-02-02T18:00:00.0;0.5849;0.1472;0.0113;0.1359;0.0000;0.0531;0.0000;0.0531;0.0000;0.9583,
2022-02-02T18:00:00.0/2022-02-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-02T19:00:00.0/2022-02-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-02T20:00:00.0/2022-02-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-02T21:00:00.0/2022-02-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-02T22:00:00.0/2022-02-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-02T23:00:00.0/2022-02-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T00:00:00.0/2022-02-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T01:00:00.0/2022-02-03T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T02:00:00.0/2022-02-03T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T03:00:00.0/2022-02-03T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T04:00:00.0/2022-02-03T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T05:00:00.0/2022-02-03T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T06:00:00.0/2022-02-03T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000,
2022-02-03T07:00:00.0/2022-02-03T08:00:00.0;58.4165;28.4824;16.4734;12.0090;209.7472;21.8080;0.7353;21.0727;7.2271;0.7500,
2022-02-03T08:00:00.0/2022-02-03T09:00:00.0;271.7489;176.9000;133.1803;43.7196;671.4407;111.9933;41.5905;70.4028;251.1396;1.0000,
2022-02-03T09:00:00.0/2022-02-03T10:00:00.0;458.6922;330.4272;267.6945;62.7327;815.8747;106.7607;4.9085;101.8522;13.2190;1.0000,
2022-02-03T10:00:00.0/2022-02-03T11:00:00.0;595.5869;443.9096;365.7921;78.1174;860.5173;187.5522;8.1471;179.4050;20.1381;1.0000,
2022-02-03T11:00:00.0/2022-02-03T12:00:00.0;673.1106;506.8614;416.3080;90.5534;866.9422;85.1336;0.0340;85.0995;0.0698;1.0000,
2022-02-03T12:00:00.0/2022-02-03T13:00:00.0;685.9866;510.5064;406.7162;103.7902;830.8619;102.5950;0.0013;102.5937;0.0026;1.0000,
2022-02-03T13:00:00.0/2022-02-03T14:00:00.0;633.3445;454.9365;340.3676;114.5688;752.1511;50.1076;0.0000;50.1076;0.0000;1.0000,
2022-02-03T14:00:00.0/2022-02-03T15:00:00.0;518.7797;347.4409;233.0992;114.3417;626.1099;61.4111;0.8989;60.5121;2.7278;1.0000,
